CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
12.147.903/0001-89;AC2 INVESTIMENTOS LTDA;AC2 INVESTIMENTOS;2010-07-23;2014-05-20;CANCELAMENTO A PEDIDO;CANCELADA;2014-05-20;PRIVADO;SEDE;AV. NOVE DE JULHO, 4939;CJ. 121 TR. JARDIM;ITAIM BIBI;SÃO PAULO;SP;1407200;11;26670339;compliance@ac2i.com.br;
03.728.378/0001-02;ACLA BANK DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;ACLA BANK;2021-12-20;;;EM FUNCIONAMENTO NORMAL;2021-12-20;PRIVADO;SEDE;SHCN CL QUADRA 316 BLOCO E LOJA 12;;ASA NORTE;BRASÍLIA;DF;70775550;61;30301777;info@aclabank.com;www.aclabank.com
43.732.359/0001-66;ADAM WEALTH CONSULTORIA DE INVESTIMENTOS LTDA;ADAM WEALTH CONSULTORIA DE INVESTIMENTOS;2021-11-09;;;EM FUNCIONAMENTO NORMAL;2021-11-09;PRIVADO;SEDE;RUA FÉLIX DA CUNHA Nº 985;SALA D;FLORESTA;PORTO ALEGRE;RS;90570001;51;33925742;atendimento@investadam.com.br;www.investeadam.com.br
03.132.889/0001-59;ADITUS ASSESSORIA E SISTEMAS S.A.;ADITUS ASSESSORIA E SISTEMAS S.A.;2000-07-04;2019-01-07;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2019-01-07;PRIVADO;SEDE;R MINISTRO JESUÍNO CARDOSO 454;CJ. 73/74;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4544051;;;elisa.sousa@aditusbr.com;
13.484.369/0001-69;ADITUS CONSULTORIA E SISTEMAS LTDA;ADITUS CONSULTORIA E SISTEMAS LTDA;2011-05-31;;;EM FUNCIONAMENTO NORMAL;2011-05-31;PRIVADO;SEDE;RUA DO RÓCIO, 350;CJ 61;VILA OLIMPIA;SÃO PAULO;SP;4552000;011;38181111;aditus@aditusbr.com;www.aditusbr.com
12.983.542/0001-00;ADVIS CONSULTORIA FINANCEIRA LTDA;TRIBECA PARTNERS CONSULTORIA;2011-11-03;2016-04-14;CANCELAMENTO A PEDIDO;CANCELADA;2016-04-14;PRIVADO;SEDE;AV PRES JUCELINO KUBITSCHEK;Nº 50, CONJ 131;ITAIM BIBI;SÃO PAULO;SP;4543000;11;33189460;felipe.cunha@tribecapartners.com.br;
91.449.280/0001-75;ADVISER GESTAO DE PATRIMONIO SS;ADVISER GESTAO DE PATRIMONIO SS;1987-04-03;2006-04-17;CANCELAMENTO A PEDIDO;CANCELADA;2006-04-17;PRIVADO;SEDE;Rua Dr Florencio Ygartua, 131;205;MOINHOS DE VENTO;PORTO ALEGRE;RS;90430010;51;33028388;adviser@adviser.adm.br;
13.424.753/0001-76;AF MULTI FAMILY OFFICE CONSULTORIA FINANCEIRA LTDA.;-;2017-10-13;;;EM FUNCIONAMENTO NORMAL;2017-10-13;PRIVADO;SEDE;RUA EDWARD JOSEPH, 122;CONJ. 94;VILA SUZANA;SÃO PAULO;SP;5709020;11;47019582;aristeu.festa@br-affa.com;www.afgroupws.com
00.059.307/0001-68;AGENDA ASSESSORIA PLANEJAMENTO E INFORMATICA LTDA;AGENDA ASSESSORIA;2017-08-14;;;EM FUNCIONAMENTO NORMAL;2017-08-14;PRIVADO;SEDE;RUA BARÃO DE MELGAÇO, 3988;;CENTRO NORTE;CUIABÁ;MT;78005300;65;33223400;comercial@agendaassessoria.com.br;
10.429.971/0001-05;ÁGER CONSULTORIA LTDA;--;2009-07-01;2011-11-04;CANCELAMENTO A PEDIDO;CANCELADA;2011-11-04;PRIVADO;SEDE;R. RENATO DIAS 650;APTO 1302;ED. DANIELA/BOM PASTOR;JUIZ DE FORA;MG;36021610;32;32160206;caio.amoedo@terra.com.br;
01.394.471/0001-94;AGRIF S/C LTDA;AGRIF S/C LTDA;2003-01-03;2003-08-29;CANCELAMENTO A PEDIDO;CANCELADA;2003-08-29;PRIVADO;SEDE;RUA PEDROSO ALVARENGA 1062;16 ANDAR;;SÃO PAULO;SP;4503004;;;;
17.507.321/0001-80;AHEAD CONSULTORIA DE INVESTIMENTOS LTDA;AHEAD CONSULTORIA DE INVESTIMENTOS LTDA;2014-04-10;2017-12-06;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-06;PRIVADO;SEDE;RUA FUNCHAL;411 - 5º AND;VILA OLIMPIA;SÃO PAULO;SP;4551060;11;39376483;hon@aheadinvestimentos.com.br;www.aheadinvestimentos.com.br
36.568.013/0001-09;AIPLAN GESTORA DE RECURSOS LTDA.;AIPLAN GESTORA;2021-04-20;;;EM FUNCIONAMENTO NORMAL;2021-04-20;PRIVADO;SEDE;AV. PAULISTA, 967/2º ANDAR SL 21 E 22;;BELA VISTA;SÃO PAULO;SP;1311918;11;991037159;contato@aiplan.com.br;http://www.aiplan.com.br/
42.697.069/0001-66;AJX CAPITAL - INVESTIMENTOS S.A.;AJX CAPITAL û INVESTIMENTOS S.A.;2022-04-28;;;EM FUNCIONAMENTO NORMAL;2022-04-28;PRIVADO;SEDE;AVENIDA CAUAXI, 293/SALA 1002;ED. ALPHA GRENN BU;ALPHAVILLE CENTRO INDUSTRIAL E;BARUERI;SP;6454020;11;30425157;elisangela@ajxcapital.com.br;https://www.ajxcapital.com.br
13.056.344/0001-64;ALBION CAPITAL LTDA;ALBION CAPITAL;2015-03-16;;;EM FUNCIONAMENTO NORMAL;2015-03-16;PRIVADO;SEDE;AVENIDA ERASMO BRAGA, 255;CONJUNTO 503;CENTRO;RIO DE JANEIRO;RJ;20020000;21;35200123;albion@albioncapital.com.br;www.albioncapital.com.br
43.107.325/0001-80;ALFALEVY ADMINISTRACAO DE INVESTIMENTOS LTDA;ALFALEVY;2006-07-27;2018-08-31;CANCELAMENTO A PEDIDO;CANCELADA;2018-08-31;PRIVADO;SEDE;RUA HENRIQUE MONTEIRO, 90;CJTO 152 E 154;PINHEIROS;SÃO PAULO;SP;5423020;11;27386838;calevy@alfalevy.com.br;
30.020.898/0001-20;ALLEA WEALTH MANAGEMENT CONSULTORIA DE INVESTIMENTOS LTDA;ALLEA WEALTH MANAGEMENT;2018-07-16;2022-01-25;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-25;PRIVADO;SEDE;RUA URUSSUÍ, 125;CJ 64 SL 02;ITAIM BIBI;SÃO PAULO;SP;4542050;011;48614064;ricardo.albiero@alleawm.com.br;www.alleawm.com.br
10.834.611/0001-99;ALLIANCE CONSULTORIA DE INVESTIMENTOS LTDA;--;2010-03-29;2013-01-17;CANCELAMENTO A PEDIDO;CANCELADA;2013-01-17;PRIVADO;SEDE;RUA JOAQUIM FLORIANO, 413;CONJ. 151, 15º AND;ITAIM BIBI;SÃO PAULO;SP;4534011;;;dca303@uol.com.br;
17.896.091/0001-98;ALTIMURA FINANCIAL ADVISORY CONSULTORIA DE VALORES MOBILIÁRIOS LTDA;ALTIMURA FINANCIAL ADVISORY CONSULTORIA DE VALORES MOBILIÁRIOS LTDA;2013-06-28;2017-06-13;CANCELAMENTO A PEDIDO;CANCELADA;2017-06-13;PRIVADO;SEDE;RUA FRADIQUE COUTINHO;50 - 3º ANDAR;PINHEIROS;SÃO PAULO;SP;5416000;11;30580062;;
26.143.188/0001-10;ALVES & MISSON CONSULTORIA FINANCEIRA LTDA;TRIUNFO CONSULTORIA FINANCEIRA;2017-01-04;2019-04-11;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-11;PRIVADO;SEDE;AVENIDA 1, 441/07;;CENTRO;RIO CLARO;SP;13050401;19;35575108;patricia@triunfoconsultoria.com.br;
09.628.460/0001-33;AMERICAN APPRAISAL SERVIÇOS DE AVALIAÇÃO LTDA;--;2010-03-09;2015-07-16;CANCELAMENTO A PEDIDO;CANCELADA;2015-07-16;PRIVADO;SEDE;AV. DAS NAÇÕES UNIDAS 12551;CONJ. 1901;BROOKLIN NOVO;SÃO PAULO;SP;4578903;11;31928100;ltoledo@american-appraisal.com;www.american-appraisal.com.br
31.243.611/0001-94;AMERICAS ASSET CONSULTORIA E GESTÃO DE INVESTIMENTOS LTDA.;AMERICAS ASSET;1987-05-26;1990-03-29;;CANCELADA;1990-03-29;;SEDE;AV. DAS AMÉRICAS, 700;BLOCO 8 -LOJA 115F;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640100;21;986040634;contato@americasasset.com.br;
31.243.611/0001-94;AMERICAS ASSET CONSULTORIA E GESTÃO DE INVESTIMENTOS LTDA.;AMERICAS ASSET;1992-05-26;2017-07-31;CANCELAMENTO A PEDIDO;CANCELADA;2017-07-31;PRIVADO;SEDE;AV. DAS AMÉRICAS, 700;BLOCO 8 -LOJA 115F;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640100;21;986040634;contato@americasasset.com.br;www.americasasset.com.br
22.863.573/0001-81;AMX CONSULTORIA DE INVESTIMENTOS LTDA.;AMX CAPITAL;2015-10-16;;;EM FUNCIONAMENTO NORMAL;2015-10-16;PRIVADO;SEDE;RUA CEL. ALMEIDA;132 - SALA 2;CENTRO;ARAQUARI;SC;89245000;47;33051920;handreus.misfeld@amxcapital.com.br;
04.121.549/0001-95;ANALITIX SOLUÇÕES EM FINANÇAS LTDA;ANALITIX SOLUÇÕES EM FINANÇAS LTDA;2005-12-09;2019-04-15;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-15;PRIVADO;;;;;;;;;;claudio.paiva@analitix.com.br;www.analitix.com.br
30.986.251/0001-58;ANALYSIS-CONS MERC DE CAP LTDA;ANALYSIS;1986-12-08;1990-03-19;;CANCELADA;1990-03-19;;SEDE;AV ERASMO BRAGA 255 - CJ 1103;;;RIO DE JANEIRO;RJ;20020000;;;;
36.488.241/0001-79;ANDALUZ SOLUÇÕES E SERVIÇOS LTDA.;ANDALUZ CONSULTORIA DE VALORES MOBILIÁRIOS;2020-05-22;;;EM FUNCIONAMENTO NORMAL;2020-05-22;PRIVADO;SEDE;QUADRA SCN QUADRA 1 BL G SL 1015 E 1016;;ASA NORTE;BRASÍLIA;DF;70711070;61;33261178;institucional@andaluzinvestimentos.com.br;www.andaluzinvestimentos.com.br
09.664.936/0001-91;ANDBANK GESTAO DE PATRIMONIO FINANCEIRO LTDA;--;2014-03-20;2019-10-12;CANCELAMENTO A PEDIDO;CANCELADA;2019-10-12;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA, 2179;8ºAND CJ 81 PARTE;JARDIM PAULISTANO;SÃO PAULO;SP;1452000;11;30957070;jose.campos@andbank.com.br;
35.394.142/0001-65;ANDRADE AMORIM CONSULTORIA DE INVESTIMENTOS LTDA.;VINCERE CONSULTORIA DE INVESTIMENTOS;2021-03-23;;;EM FUNCIONAMENTO NORMAL;2021-03-23;PRIVADO;SEDE;RUA ANTÔNIO DE ALBUQUERQUE, 330;SL 901;SAVASSI;BELO HORIZONTE;MG;30112010;31;32390115;thiago.amorim@vincereconsultoria.com;www.vincereconsultoria.com
04.106.213/0001-53;ANTARES CONSULTORIA - EIRELI;EMPRESA SENDO DESATIVADA;2005-03-29;2018-03-05;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-05;PRIVADO;SEDE;RUA MANUEL GUEDES  264;53;JARDIM EUROPA;SÃO PAULO;SP;4536070;11;985503556;marcos.molina@intraday.com.br;http://www.intraday.com.br
38.239.753/0001-27;APEN CAPITAL CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;-----;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09;PRIVADO;SEDE;AV REPÚBLICA DO LÍBANO, 251;TORRE B SL 2601;PINA;RECIFE;PE;51110160;81;33144167;alexlemos@apencapital.com.br;www.apencapital.com.br
49.574.765/0001-24;API CAPITAL INVESTIMENTOS LTDA.;API CAPITAL;2023-02-14;;;EM FUNCIONAMENTO NORMAL;2023-02-14;;SEDE;Rua Sapiranga, 90;Sala 103;Jardim Mauá;NOVO HAMBURGO;RS;93548192;51;30692328;contato@apicapital.com.br;
37.712.977/0001-41;APLI SERVIÇOS DE CONSULTORIA DE INVESTIMENTOS E EDUCAÇÃO FINANCEIRA LTDA.;APLI INVESTIMENTOS;2022-10-07;;;EM FUNCIONAMENTO NORMAL;2022-10-07;;SEDE;Rua Guanabara, n° 496;N/A;Guanabara;JOINVILLE;SC;89207300;47;991159222;willianlaffin@aplinvest.com.br;
32.168.959/0001-27;APLIX CONSULTORIA DE INVESTIMENTOS LTDA.;-----;2019-12-17;;;EM FUNCIONAMENTO NORMAL;2019-12-17;PRIVADO;SEDE;AV. DOM LUIS, 500/SL 1927 (PARTE);;ALDEOTA;FORTALEZA;CE;60160196;85;34582152;naiana.weyne@aplix.com.br;www.aplix.com.br
13.282.582/0001-98;APOGEO CONSULTORIA DE INVESTIMENTOS LTDA.;APOGEO CONSULTORIA DE INVESTIMENTOS LTDA.;2011-03-24;2016-10-24;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-24;PRIVADO;SEDE;AV BRIGADEIRO FARIA LIMA, 2277;14º AND PARTE;JARDIM PAULISTANO;SÃO PAULO;SP;1452000;11;35442021;juridico@vincipartners.com;www.apogeo.com.br
11.437.087/0001-85;APROAR PLANEJAMENTO PATRIMONIAL LTDA.;APROAR PLANEJAMENTO PATRIMONIAL LTDA.;2021-03-23;;;EM FUNCIONAMENTO NORMAL;2021-03-23;PRIVADO;SEDE;AVENIDA REBOUÇAS, 3970/17º ANDAR;17 ANDAR;PINHEIROS;SÃO PAULO;SP;5402918;011;34346414;rafael@aproar.com.br;www.aproar.com.br
40.352.205/0001-50;AQM  - ANALISE QUALITATIVA DE MERCADO LTDA;AQM - ANALISE QUALITATIVA DE MERCADO LTDA;1998-11-27;2007-04-13;CANCELAMENTO A PEDIDO;CANCELADA;2007-04-13;PRIVADO;SEDE;RUA PROFESSOR OTACíLIO 61;204;SANTA ROSA;NITERÓI;RJ;24240670;21;27047346;;
28.097.963/0001-74;ARAM CAPITAL CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;ARAM CAPITAL CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;2019-08-12;;;EM FUNCIONAMENTO NORMAL;2019-08-12;PRIVADO;SEDE;RUA OSCAR FREIRE, Nº 379;CONJUNTO 152;JARDIM PAULISTA;SÃO PAULO;SP;1426001;11;27373051;eduardo.scarceli@aramcapital.com.br;www.aramcapital.com.br
17.090.900/0001-70;ARBITRAL GESTÃO DE RECURSOS LTDA;ARBITRAL GESTÃO DE RECURSOS LTDA;2014-07-29;;;EM FUNCIONAMENTO NORMAL;2014-07-29;PRIVADO;SEDE;PRAÇA SANTOS DUMONT, 70;4º ANDAR;GAVEA;RIO DE JANEIRO;RJ;22470060;21;35092000;rsabino@arbitral.com.br;
45.688.000/0001-64;ARCA INVESTIMENTOS LTDA.;ARCA INVESTIMENTOS;2022-05-24;;;EM FUNCIONAMENTO NORMAL;2022-05-24;PRIVADO;SEDE;AVENIDA TANCREDO NEVES, 620/SALA 3305;ED. MUNDO PLAZA TO;CAMINHO DAS ARVORES;SALVADOR;BA;41820020;71;96096507;paulo.figueiredo@arcainvest.com.br;www.arcainvest.com.br
03.014.887/0001-65;ARGUMENTO ADMINISTRAÇÃO DE CARTEIRA DE TITULOS E VALORES MOBILIÁRIOS LTDA;ARGUMENTO GESTÃO DE INVESTIMENTOS;2000-09-01;2012-04-25;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2012-04-25;PRIVADO;SEDE;RUA ALVARO ANES, 56;CJ 71;PINHEIROS;SÃO PAULO;SP;5421010;11;30327220;argumento@arg.com.br;
13.750.027/0001-43;ARROW CONSULTORIA DE INVESTIMENTOS LTDA;ARROW CONSULTORIA DE INVESTIMENTOS LTDA;2011-07-11;2016-05-25;CANCELAMENTO A PEDIDO;CANCELADA;2016-05-25;PRIVADO;SEDE;AVENIDA ATAULFO DE PAIVA, 255;SALA 406;LEBLON;RIO DE JANEIRO;RJ;22440032;21;25113720;brenolorch@gmail.com;
42.196.095/0001-00;ARTON ADVISORS CONSULTORIA FINANCEIRA LTDA;ARTON ADVISORS;2021-06-23;;;EM FUNCIONAMENTO NORMAL;2021-06-23;PRIVADO;SEDE;AV BRIGADEIRO FARIA LIMA, 3477/CJ 72 PARTE 4;TORRE NORTE;ITAIM BIBI;SÃO PAULO;SP;4538133;11;984051616;joao.sa@artonadvisors.com.br;http://www.artonadvisors.com.br/
53.822.219/0001-32;ASSETS CONSULTORIA E PARTICIPAÇÕES LTDA;ASSETS;1985-05-16;2017-11-28;CANCELAMENTO A PEDIDO;CANCELADA;2017-11-28;PRIVADO;;;;;;;;;;mike.castro@uol.com.br;
04.367.844/0001-26;ASSIMÉTRICA CONSULTORIA FINANCEIRA E PREVIDENCIÁRIA LTDA;--;2011-05-18;2017-01-08;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-08;PRIVADO;SEDE;RUA ERNESTO DE PAULA SANTOS;1114, SALA 104;BOA VIAGEM;RECIFE;PE;51021330;81;33265498;helena@assimetricaconsultoria.com.br;
41.080.229/0001-60;ASTRON BR LTDA.;ASTRON BRASIL;2021-04-01;;;EM FUNCIONAMENTO NORMAL;2021-04-01;PRIVADO;SEDE;RUA BELTERRA, 291/82 D;;SANTO AMARO;SÃO PAULO;SP;4747140;11;988747527;ra@astronwealth.com;www.astronwealth.com
05.606.508/0001-51;ATIVA CONSULTORIA E ASSESSORIA S/S;ATIVA CONSULTORIA E ASSESSORIA S/S;2012-04-02;2016-12-09;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-09;PRIVADO HOLDING;SEDE;RUA MOISES BATISTA, 189;SALA 4;CENTRO;TRINDADE;GO;75380000;62;30937374;arlan@ativamunicipal.com.br;
28.786.648/0001-54;ATM ASSESSORIA TÉCNICA DE MERCADO LTDA;ATM;1985-04-23;1996-03-27;;CANCELADA;1996-03-27;PRIVADO;SEDE;RUA CONSELHEIRO AUTRAN, 28;APTO 102;VILA ISABEL;RIO DE JANEIRO;RJ;20551060;;;silvan1@globo.com;
28.786.648/0001-54;ATM ASSESSORIA TÉCNICA DE MERCADO LTDA;ATM;2000-12-12;2016-12-23;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-23;PRIVADO;SEDE;RUA CONSELHEIRO AUTRAN, 28;APTO 102;VILA ISABEL;RIO DE JANEIRO;RJ;20551060;;;silvan1@globo.com;
28.240.508/0001-86;ATMOSPHERE CAPITAL GESTAO DE RECURSOS LTDA.;ATMOSPHERE CAPITAL GESTAO DE RECURSOS LTDA.;2019-08-15;2022-02-17;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-17;PRIVADO;SEDE;R. DR. RENATO PAES DE BARROS, 717;CONJUNTO Nº 41;ITAIM BIBI;SÃO PAULO;SP;4530001;11;26391656;wagner.tavares@atmospherecapital.com.br;http://www.atmospherecapital.com.br/
23.791.507/0001-06;ATTIMO CONSULTORIA DE VALORES MOBILIÁRIOS LTDA;ATTIMO FAMILY OFFICE;2017-04-20;;;EM FUNCIONAMENTO NORMAL;2017-04-20;PRIVADO;SEDE;RUA DR GUILHERME BANNITZ, 126;2O ANDAR;ITAIM BIBI;SÃO PAULO;SP;4532060;11;24507464;adm@attimofinancas.com.br;www.attimofinancas.com.br
37.199.552/0001-80;AUGE CONSULTORIA DE INVESTIMENTOS;AUGE WEALTH MANAGEMENT;2021-11-08;;;EM FUNCIONAMENTO NORMAL;2021-11-08;PRIVADO;SEDE;RUA DO GUIA LOPES, 560;;EXPOSIÇÃO;CAXIAS DO SUL;RS;95020390;54;991874066;contato@augewm.com.br;www.augewm.com.br
39.783.554/0001-48;AVENUE GLOBAL ADVISORS LLC;AVENUE GLOBAL ADVISORS;2020-11-19;;;EM FUNCIONAMENTO NORMAL;2020-11-19;PRIVADO;SEDE;;;;;;;786;2793676;compliance@avenueglobaladvisors.com;
22.080.645/0001-14;AWARE CONSULTORIA DE INVESTIMENTOS LTDA;AWARE INVESTMENTS;2015-05-04;2017-12-12;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-12;PRIVADO;SEDE;R VISCONDE DE PIRAJÁ, 407/507;;IPANEMA;RIO DE JANEIRO;RJ;22410003;21;34979028;aqueiroz@awareinvestments.com;http://www.awareinvestments.com
18.684.408/0001-95;AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;FUTURAINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;2015-10-21;2017-03-06;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2017-03-06;PRIVADO;SEDE;LEOPOLDO COUTO MAGALHÃES 758;14 ANDAR;ITAIM BIBI;SÃO PAULO;SP;4542000;11;35527153;alessandra.dias@azimutwealth.com.br;www.futurainvestdtvm.com.br
25.080.661/0001-03;AZZURRA CAPITAL GESTORA DE RECURSOS LTDA.;AZZURRA CAPITAL;2017-04-20;2021-06-21;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-21;PRIVADO;SEDE;R. LEOPOLDO COUTO MAGALHÃES JÚNIOR, 110;CJ 81;ITAIM BIBI;SÃO PAULO;SP;4542000;11;32631089;contato@azzurracapital.com.br;www.terinvestimentos.com.br
65.706.996/0001-09;B & B COMPUTAÇAO GRAFICA SC L;B & B COMP GRAF SC L;1995-03-27;2002-12-06;CANCELAMENTO A PEDIDO;CANCELADA;2002-12-06;PRIVADO;SEDE;R. DR. JOÃO PEDRO CARDOSO, 97;;;ITAPEVI;SP;6654070;;;;
48.514.663/0001-50;B2 ADVISORY CONSULTORIA DE VALORES MOBILIARIOS LTDA;B2 ADVISORY;2022-11-07;;;EM FUNCIONAMENTO NORMAL;2022-11-07;;SEDE;Av. Brigadeiro Faria Lima, nº 1.811;Conj. 1.119;Jardim Paulistano;SÃO PAULO;SP;1452001;11;986162556;contato@b2advisory.com.br;
47.106.470/0001-06;BALLAST CAPITAL LTDA.;BALLAST CAPITAL LTDA.;2022-08-22;;;EM FUNCIONAMENTO NORMAL;2022-08-22;PRIVADO;SEDE;RUA GALENO DE ALMEIDA, 188;;PINHEIROS;SÃO PAULO;SP;5410030;11;988148887;contato@ballast-wp.com;https://www.ballastwpc.com.br/
10.664.513/0001-50;BANCO AGIBANK S.A.;BANCO AGIBANK S.A.;2013-02-04;2015-04-30;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2015-04-30;PRIVADO;SEDE;RUA MOSTARDEIRO Nº 266;;MOINHOS DE VENTO;PORTO ALEGRE;RS;90430000;051;39211462;ri@agibank.com.br;
60.770.336/0001-65;BANCO ALFA DE INVESTIMENTO S.A.;BANCO ALFA DE INVESTIMENTO S.A.;2020-11-25;;;EM FUNCIONAMENTO NORMAL;2020-11-25;PRIVADO;SEDE;ALAMEDA SANTOS, 466;4° ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;1418000;11;31755147;aaio@bancoalfa.com.br;www.bancoalfa.com.br
33.485.541/0001-06;BANCO BOAVISTA INTERATLÂNTICO S.A.;BANCO BOAVISTA INTERATLANTICO SA;1991-04-29;2001-11-07;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-11-07;PRIVADO;SEDE;CIDADE DE DEUS, S/N;PRÉDIO PRATA 4 AND;VILA YARA;OSASCO;SP;6029900;11;36845122;4260.guilherme@bradesco.com.br;
