CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CATEG_REG;SUBCATEG_REG;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;VL_PATRIM_LIQ;DT_PATRIM_LIQ;EMAIL;SITE_ADMIN
76.621.457/0001-85;4UM DTVM S.A.;4UM INVESTIMENTOS;1995-08-04;;;EM FUNCIONAMENTO NORMAL;1995-08-04;Administrador Fiduciário e Gestor de Carteira;Instituição Financeira;PRIVADO;SEDE;R. VISCONDE DO RIO BRANCO 1488;4º ANDAR;CENTRO;CURITIBA;PR;80420210;41;33519966;4228660.18;2005-12-31;controle@4um.com.br;www.4um.com.br
03.983.856/0001-12;4UM GESTÃO DE RECURSOS LTDA.;4UM INVESTIMENTOS;2019-05-28;;;EM FUNCIONAMENTO NORMAL;2019-05-28;Gestor de Carteira;;PRIVADO;SEDE;RUA VISCONDE DO RIO BRANCO, 1488;4º ANDAR;CENTRO;CURITIBA;PR;80420210;41;33519966;;;riscos@4um.com.br;www.4um.com.br
13.935.935/0001-01;A1 INVESTIMENTOS GESTAO DE RECURSOS LTDA;--;2012-03-16;;;EM FUNCIONAMENTO NORMAL;2012-03-16;Gestor de Carteira;;PRIVADO;SEDE;RUA PARA 76;CJ 93;HIGIENOPOLIS;SÃO PAULO;SP;1243020;11;31204310;;;gestao@a1investimentos.com.br;
19.225.510/0001-95;A10 INVESTIMENTOS LTDA.;A10 INVESTIMENTOS;2017-04-24;;;EM FUNCIONAMENTO NORMAL;2017-04-24;Gestor de Carteira;;PRIVADO;SEDE;AV NOVE DE JULHO, 4.939/9º;CJ 91 (PARTE);JARDIM PAULISTA;SÃO PAULO;SP;1407200;11;29850089;;;marcelo.paiva@a10investimentos.com;http://www.a10investimentos.com/asset
02.246.275/0001-35;A2R LTDA;A2R LTDA;1997-12-16;2007-09-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-09-13;;;;SEDE;AV. PAULISTA, 1111;2 ANDAR;BELA VISTA;SÃO PAULO;SP;1311920;5511;30395888;;;marcos.buckton@unibanco.com.br;
10.705.874/0001-06;A3 PERFORMANCE GESTAO DE RECURSOS LTDA;--;2009-07-30;;;EM FUNCIONAMENTO NORMAL;2009-07-30;Gestor de Carteira;;PRIVADO;SEDE;ESTRADA DA GÁVEA 712;SALAS 405 E 406;SÃO CONRADO;RIO DE JANEIRO;RJ;22610002;21;31387800;;;a3performance@a3performance.com.br;www.a3performance.com.br
11.878.356/0001-49;A4X GESTORA DE RECURSOS LTDA;--;2011-03-28;2016-06-13;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-13;Gestor de Carteira;;PRIVADO;SEDE;AV. DR. CHUCRI ZAIDAN Nº. 1550;31º AND SL. 3111;VILA CORDEIRO;SÃO PAULO;SP;4583110;11;30361960;;;contato@a4x.com.br;
07.152.171/0001-85;A5 GESTÃO DE INVESTIMENTOS LTDA;A5 CAPITAL PARTNERS;2006-12-12;;;EM FUNCIONAMENTO NORMAL;2006-12-12;Gestor de Carteira;;PRIVADO;SEDE;RUA JOAQUIM FLORIANO, 466;1 ANDAR - CJ 103;ITAIM BIBI;SÃO PAULO;SP;4534002;11;21651005;;;renato.ramalho@kptl.com.br;https://kptl.com.br
02.844.537/0001-63;AAA GESTAO DE RECURSOS S/C LTDA;AAA GESTAO DE RECURSOS S/C LTDA;2001-01-16;2010-05-11;CANCELAMENTO A PEDIDO;CANCELADA;2010-05-11;;;PRIVADO;SEDE;RUAS DIAS FERREIRA, 190;502;LEBLON;RIO DE JANEIRO;RJ;22431050;21;25297520;;;aaagestao@aaagestao.com.br;
00.424.749/0001-66;AAM GESTORA DE RECURSOS DE TERCEIROS LTDA.;AJAX ASSET MANAGEMENT;2003-02-03;;;EM FUNCIONAMENTO NORMAL;2003-02-03;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA NOVE DE JULHO;Nº 5.966, CONJUNTO 81, PARTE A;JARDIM PAULISTANO;SÃO PAULO;SP;1406902;11;995301011;;;r.passos@ajaxcapital.com.br;www.ajaxcapital.com.br
09.207.793/0001-99;ABACO GESTAO DE RECURSOS LTDA;--;2008-07-11;2015-10-16;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-16;;;PRIVADO;SEDE;RUA DR. RENATO PAES DE BARROS,;CONJUNTO 104;ITAIM-BIBI;SÃO PAULO;SP;4530001;11;37296981;;;julio.netto@abacogestora.com.br;
07.672.382/0001-49;ABACOINVEST GESTAO DE RECURSOS LTDA;ABACOINVEST GESTÃO DE RECURSOS LTDA;2005-12-06;2015-06-12;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-12;;;PRIVADO;SEDE;Praia do Flamengo, 66;913;FLAMENGO;RIO DE JANEIRO;RJ;22210903;21;22624422;;;antonio.coury@gmail.com;
03.001.602/0001-51;ABC AGENTES DE INVESTIMENTOS LTDA.;GLOBAL INVEST SERVIÇO DE PLANEJAMENTO FINANCEIRO LTDA;2002-05-09;2006-06-06;CANCELAMENTO A PEDIDO;CANCELADA;2006-06-06;;;PRIVADO;SEDE;Rua Visconde de Nacar, 1440;26º andar;Centro;CURITIBA;PR;80410201;41;33459971;;;fernando.ferreira@globalinvest.com.br;
33.817.677/0001-76;ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;ABC BRASIL CORRETORA;1988-07-29;2007-03-29;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-03-29;;;PRIVADO;SEDE;AV. CIDADE JARDIM, 803;2º ANDAR;ITAIM BIBI;SÃO PAULO;SP;1453000;11;31702172;12637515.26;2001-12-31;regina.tkatch@abcbrasil.com.br;
08.639.165/0001-10;ABC CAPITAL - GESTAO DE INVESTIMENTOS LTDA.;--;2007-05-04;2020-11-19;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2020-11-19;Gestor de Carteira;;PRIVADO;SEDE;RUA DEPUTADO LACERDA FRANCO, 3;19 ANDAR;PINHEIROS;SÃO PAULO;SP;1139003;11;972291583;;;ecortez@abccapitalgroup.com.br;www.abccapitalgroup.com.br
33.411.319/0001-69;ABC CAPITAL MFO GESTÃO DE ATIVOS LTDA.;ABC CAPITAL MFO;2020-09-25;;;EM FUNCIONAMENTO NORMAL;2020-09-25;Gestor de Carteira;;PRIVADO;SEDE;RUA FERNANDES TOURINHO, 735/SL 1004;;LOURDES;BELO HORIZONTE;MG;30112003;31;32800001;;;alexandre@ipai.com.br;www.ipai.com.br
22.705.787/0001-20;ABLE AGRO GESTÃO DE RECURSOS S.A.;-----;2015-12-30;2016-06-24;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-24;Gestor de Carteira;;PRIVADO;SEDE;AV BRIGADEIRO FARIA LIMA, 2277;SL 302 (PARTE);JARDIM PAULISTANO;SÃO PAULO;SP;1452000;11;21236860;;;alessandra.souza@leste.com;
25.229.415/0001-62;ABM GESTORA DE RECURSOS LTDA;ABM CAPITAL;2017-02-15;2020-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-01;Gestor de Carteira;;PRIVADO;SEDE;AV JOÃO BAPTISTA PARRA, 633;SL 1301;PRAIA DO SUÁ;VITÓRIA;ES;29052123;27;30244161;;;contato@abmcapital.com.br;http://www.apexpartners.com.br/abm-capital/
22.917.818/0001-06;ABM GESTORA DE RECURSOS LTDA.;ABM CAPITAL;2016-01-18;2016-07-25;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-25;Gestor de Carteira;;PRIVADO;SEDE;AV JOÃO BAPTISTA PARRA, 633;13 andar;PRAIA DO SUÁ;VITÓRIA;ES;29052123;27;30244163;;;contato@abmcapital.com.br;
02.143.833/0001-37;ABN AMRO ASSET MANAGEMENT S.A.;ABN AMRO ASSET MANAGEMENT S.A;1998-10-29;2006-03-07;ELISÃO POR INCORPORAÇÃO;CANCELADA;2006-03-07;;;PRIVADO;SEDE;AV PAULISTA, 1374;8 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;1310916;11;31746663;;;ronaldo.ferreira@br.abnamro.com;
97.522.536/0001-09;ABRADINVEST GESTAO DE RECURSOS FINANCEIROS LTDA;ZBN - ZAMBONI;2011-10-17;;;EM FUNCIONAMENTO NORMAL;2011-10-17;Gestor de Carteira;;PRIVADO;SEDE;RUA PADRE CHAGAS, 415;1104;MOINHOS DE VENTO;PORTO ALEGRE;RS;90570080;51;33952070;;;todos@zamboniasset.com.br;http://zbnasset.com.br/
11.074.363/0001-98;ABRDN BRASIL INVESTIMENTOS LTDA.;ABRDN BRASIL INVESTIMENTOS LTDA.;2011-06-22;;;EM FUNCIONAMENTO NORMAL;2011-06-22;Gestor de Carteira;;PRIVADO;SEDE;AV JUSCELINO KUBITSCHECK 1327;BLOCO II CJ 71;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011;11;39561104;;;thatiana.disevo@abrdn.com;www.abrdn.com/pt-br/brazil
47.243.769/0001-02;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS;2022-10-07;;;EM FUNCIONAMENTO NORMAL;2022-10-07;Gestor de Carteira;;PRIVADO;SEDE;RUA IGUATEMI, 151/28º ANDAR CJ 282 SL 3;;ITAIM BIBI;SÃO PAULO;SP;1451011;11;31994450;;;absolute@absoluteinvestimentos.com.br;www.absolutecredito.wixsite.com/website
17.285.755/0001-82;ABSOLUTE GESTAO DE INVESTIMENTOS LTDA;--;2013-03-19;;;EM FUNCIONAMENTO NORMAL;2013-03-19;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA;3355 CONJ 282;ITAIM BIBI;SÃO PAULO;SP;1451011;11;31994452;;;mkalil@absoluteinvest.com.br;www.absoluteinvest.com.br
32.541.657/0001-52;ABSOLUTO PARTNERS GESTÃO DE RECURSOS LTDA.;ABSOLUTO PARTNERS GESTÃO DE RECURSOS LTDA.;2019-07-12;;;EM FUNCIONAMENTO NORMAL;2019-07-12;Gestor de Carteira;;PRIVADO;SEDE;AV. ATAULFO DE PAIVA;Nº 1.120, SALA 310;LEBLON;RIO DE JANEIRO;RJ;22440035;21;35548151;;;ewygand@absolutopartners.com.br;www.absolutopartners.com.br
05.075.470/0001-38;ABSOLUTTO ASSET MANAGEMENT LTDA;ABSOLUTTO ASSET MANAGEMENT LTDA;2002-10-02;2004-12-02;CANCELAMENTO A PEDIDO;CANCELADA;2004-12-02;;;PRIVADO;SEDE;RUA ARANDU 281/ CONJ 44;;;SÃO PAULO;SP;4562030;;;;;absoluttoasset@uol.com.br;
12.147.903/0001-89;AC2 INVESTIMENTOS LTDA;AC2 INVESTIMENTOS;2014-04-16;;;EM FUNCIONAMENTO NORMAL;2014-04-16;Gestor de Carteira;;PRIVADO;SEDE;AV. NOVE DE JULHO, 4939;CJ. 121 TR. JARDIM;ITAIM BIBI;SÃO PAULO;SP;1407200;11;26670339;;;compliance@ac2i.com.br;www.ac2i.com.br
33.819.590/0001-38;AÇÃO S.A. CORRETORA DE VALORES E CÂMBIO;ACAO SA CVC;1995-03-31;1999-11-12;CANCELAMENTO A PEDIDO;CANCELADA;1999-11-12;;;PRIVADO;SEDE;PRAÇA OLAVO BILAC, 28/ SL. 608;;CENTRO;RIO DE JANEIRO;RJ;20040040;021;5095755;1971383.79;1998-12-31;;
28.001.856/0001-09;ACCENDO SERVIÇOS FINANCEIROS LTDA.;ACCENDO SERVIÇOS FINANCEIROS LTDA.;2017-08-24;2021-04-07;CANCELAMENTO A PEDIDO;CANCELADA;2021-04-07;Administrador Fiduciário;Fundos Especiais;PRIVADO;SEDE;AV. JOSÉ SILVA DE AZEVEDO NETO, Nº 200;BLOCO 4, SALA 208;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;2277505;21;35129678;;;compliance@accendoservicosfinanceiros.com.br;https://www.accendoservicosfinanceiros.com.br/
17.645.618/0001-01;ACCLISTA CAPITAL LTDA;ACCLISTA;2013-07-22;2019-04-05;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-05;Gestor de Carteira;;PRIVADO;SEDE;AV MAGALHAES DE CASTRO 4800;TORRE 1 CJ 162;CIDADE JARDIM;SÃO PAULO;SP;5676120;11;37502810;;;acclista@acclista.com;acclista.com
04.343.086/0001-06;ACCREX GESTAO DE RECURSOS LTDA;ACCREX GESTAO DE RECURSOS LTDA;2004-01-26;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;rua iguatmi 192;194;Itaim Bibi;SÃO PAULO;SP;1451010;11;31677979;;;frusso@accrex.com.br;
33.411.393/0001-85;ACE CAPITAL GESTORA DE RECURSOS LTDA.;ACE CAPITAL GESTORA DE RECURSOS LTDA.;2019-08-05;;;EM FUNCIONAMENTO NORMAL;2019-08-05;Gestor de Carteira;;PRIVADO;SEDE;RUA FUNCHAL, N° 418;CONJUNTO 2901;VILA OLÍMPIA;SÃO PAULO;SP;4551060;11;41186540;;;ftaschetto@acecapital.com.br;www.acecapital.com.br
22.057.987/0001-13;ACE CAPITAL GROU GESTORA DE RECURSOS LTDA.;--;2015-08-24;;;EM FUNCIONAMENTO NORMAL;2015-08-24;Gestor de Carteira;;PRIVADO;SEDE;RUA FUNCHAL, N° 418;CONJUNTO 2901;VILA OLÍMPIA;SÃO PAULO;SP;4551060;11;37580289;;;tcunha@groucapital.com;www.groucapital.com
18.847.226/0001-98;ACE GESTAO DE RECURSOS LTDA;ACE ASSET;2013-11-19;2016-01-22;CANCELAMENTO A PEDIDO;CANCELADA;2016-01-22;Gestor de Carteira;;PRIVADO;SEDE;AV. PAULO VI, 621;Terreo;Perdizes;SÃO PAULO;SP;1262010;11;36751950;;;ace@aceasset.com.br;
05.724.712/0001-77;ACRUX ADMINISTRACAO DE RECURSOS LTDA;--;2003-07-16;2006-10-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2006-10-13;;;PRIVADO;SEDE;RUA DO CARMO, 71;5º ANDAR PARTE;CENTRO;RIO DE JANEIRO;RJ;20011020;21;25052500;;;vtaveira@acruxcapital.com;
05.724.712/0001-77;ACRUX ADMINISTRACAO DE RECURSOS LTDA;--;2007-06-27;2018-11-23;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2018-11-23;Gestor de Carteira;;PRIVADO;SEDE;RUA DO CARMO, 71;5º ANDAR PARTE;CENTRO;RIO DE JANEIRO;RJ;20011020;21;25052500;;;vtaveira@acruxcapital.com;
38.412.222/0001-94;ACTUM CAPITAL GESTÃO DE RECURSOS LTDA.;ACTUM CAPITAL GESTÃO DE RECURSOS LTDA.;2021-02-23;;;EM FUNCIONAMENTO NORMAL;2021-02-23;Gestor de Carteira;;PRIVADO;SEDE;RUA PEDRO IVO, 564;;MONT SERRAT;PORTO ALEGRE;RS;90450210;51;40424330;;;contato@actumcapital.com.br;www.actumcapital.com.br
18.167.777/0001-00;ACURA GESTORA DE RECURSOS LTDA;ACURA CAPITAL;2013-07-22;;;EM FUNCIONAMENTO NORMAL;2013-07-22;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA, 3900;6 ANDAR - CONJUNTO 601;ITAIM BIBI;SÃO PAULO;SP;4538132;11;42101961;;;fernando.senna@acuracapital.com.br;https://www.acuracapital.com.br
02.775.231/0001-00;AD INVESTIMENTOS SOC. SIMPLES DE AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;AÇÃO DIRECT;1998-12-07;2001-10-26;CANCELAMENTO A PEDIDO;CANCELADA;2001-10-26;;;PRIVADO;SEDE;AV. ENG. ÁLVARO NIEMEYER,  187;PARTE;SãO CONRADO;RIO DE JANEIRO;RJ;22610180;21;33226982;;;saboya@swanforsale.com.br;
45.981.761/0001-00;ADA CAPITAL GESTÃO DE RECURSOS LTDA.;ADA CAPITAL;2022-12-02;;;EM FUNCIONAMENTO NORMAL;2022-12-02;Gestor de Carteira;;PRIVADO;SEDE;RUA URUSSUÍ, 125/CJ 83 E84;8º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4542050;11;37770742;;;info@adacapital.com.br;www.adacapital.com.br
17.905.206/0001-63;ADAMCAPITAL GESTÃO DE RECURSOS LTDA.;ADAMCAPITAL GESTÃO DE RECURSOS LTDA.;2013-06-21;;;EM FUNCIONAMENTO NORMAL;2013-06-21;Gestor de Carteira;;PRIVADO;SEDE;RUA DIAS FERREIRA, 190;SALA 502;LEBLON;RIO DE JANEIRO;RJ;22431050;21;39937000;;;appel@adamcapital.com.br;www.adamcapital.com.br
17.355.314/0001-00;ADIPAR DTVM LTDA;ADIPAR;1993-08-27;2001-08-30;CANCELAMENTO A PEDIDO;CANCELADA;2001-08-30;;;PRIVADO;SEDE;AV DAS AMERICAS 500 - BLOCO 23;SALAS 218 A 219;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640100;21;21324000;4055061.51;1998-12-31;adipar@adipardtvm.com.br;
35.937.283/0001-87;ADOLPHO OLIVEIRA & ASSOCIADOS CORRETORA DE VALORES E CAMBIO S/A;ADOLPHO OLIVEIRA & ASSOCIADOS CVC S/A;1989-09-14;2008-12-31;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2008-12-31;Gestor de Carteira;;PRIVADO;SEDE;RUA DO MERCADO, 33 - PARTE;;CENTRO;RIO DE JANEIRO;RJ;20010120;021;2923922;0.00;1990-12-31;;
91.449.280/0001-75;ADVISER GESTAO DE PATRIMONIO SS;ADVISER GESTAO DE PATRIMONIO SS;1996-01-30;2018-04-26;CANCELAMENTO A PEDIDO;CANCELADA;2018-04-26;Gestor de Carteira;;PRIVADO;SEDE;Rua Dr Florencio Ygartua, 131;205;MOINHOS DE VENTO;PORTO ALEGRE;RS;90430010;51;33028388;0.00;1990-12-31;adviser@adviser.adm.br;
10.968.635/0001-30;ADVISIA PARTICIPAÇÕES E ASSESSORIA FINANCEIRA LTDA;--;2012-10-10;2013-12-23;CANCELAMENTO A PEDIDO;CANCELADA;2013-12-23;;;PRIVADO;SEDE;AV JUSCELINO KUBITSCHEK, 1726;22º ANDAR, CJ 222;VILA OLIMPIA;SÃO PAULO;SP;4553000;11;30530434;;;contato@advisiainvest.com.br;
03.483.422/0001-53;ADVISORS ASSET MANAGEMENT LTDA;ADVISORS ASSET MANEGEMENT LTDA;2000-01-10;2002-06-28;CANCELAMENTO A PEDIDO;CANCELADA;2002-06-28;;;PRIVADO;SEDE;PRAçA OLAVO BILAC, 28;SALAS 1509-1517;CENTRO;RIO DE JANEIRO;RJ;20041010;21;5095644;;;advisors@advisors.com.br;
07.784.759/0001-51;AEM CAPITAL GESTAO DE RECURSOS LTDA;--;2006-05-30;2008-07-02;CANCELAMENTO A PEDIDO;CANCELADA;2008-07-02;;;PRIVADO;SEDE;Av Nilo Pecanha;50 Grupo 1512;CENTRO;RIO DE JANEIRO;RJ;20020906;21;25321592;;;mcmuller@aembr.com.br;
07.784.759/0001-51;AEM CAPITAL GESTAO DE RECURSOS LTDA;--;2009-01-27;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;Av Nilo Pecanha;50 Grupo 1512;CENTRO;RIO DE JANEIRO;RJ;20020906;21;25321592;;;mcmuller@aembr.com.br;www.aembr.com.br
03.226.533/0001-84;AF INVEST ADMINISTRAÇÃO DE RECURSOS LTDA;AF INVEST ADMINISTRAÇÃO DE RECURSOS LTDA;2006-04-18;;;EM FUNCIONAMENTO NORMAL;2006-04-18;Gestor de Carteira;;PRIVADO;SEDE;RUA SERGIPE 1440;6º ANDAR;SAVASSI;BELO HORIZONTE;MG;30130174;31;21036000;;;anaflavia@afs.com.br;www.afinvest.com.br
43.946.902/0001-28;AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA;AF REAL ESTATE;2022-12-27;;;EM FUNCIONAMENTO NORMAL;2022-12-27;Gestor de Carteira;;PRIVADO;SEDE;RUA TABAPUÃ, Nº 1.123;1º ANDAR, CONJ. 18, EDIFÍCIO SPAZIO DEL SOLE;ITAIM BIBI;SÃO PAULO;SP;4533014;31;21036000;;;contato@afrealestate.com.br;www.afrealestate.com.br
21.431.855/0001-47;ÁFIRA GESTÃO DE RECURSOS LTDA.;ÁFIRA INVESTIMENTOS;2018-05-09;;;EM FUNCIONAMENTO NORMAL;2018-05-09;Gestor de Carteira;;PRIVADO;SEDE;R VISCONDE DE PIRAJÁ,;NÚMERO  414 , SALA 1205;IPANEMA;RIO DE JANEIRO;RJ;22410002;21;35795859;;;rafael.souza@afirainvestimentos.com;https://www.afirainvestimentos.com/
19.669.096/0001-03;AFS BRASIL LTDA.;AFS BRASIL LTDA.;2022-10-26;;;EM FUNCIONAMENTO NORMAL;2022-10-26;;;PRIVADO;SEDE;RUA HELENA, Nº 260;CONJ. 143;VILA OLÍMPIA;SÃO PAULO;SP;4552050;11;30493449;;;compliance@amicorp.com;https://www.amicorp-funds.com.br/
19.669.096/0001-03;AFS BRASIL LTDA.;AFS BRASIL LTDA.;2020-06-12;2021-04-08;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2021-04-08;Administrador Fiduciário;Fundos Especiais;PRIVADO;SEDE;RUA HELENA, Nº 260;CONJ. 143;VILA OLÍMPIA;SÃO PAULO;SP;4552050;11;30493449;;;compliance@amicorp.com;www.amicorp-funds.com.br
08.883.868/0001-99;AGA GESTORA DE RECURSOS LTDA.;--;2008-11-27;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;RUA SENADOR DANTAS 71;SALA 702 PARTE;CENTRO;RIO DE JANEIRO;RJ;20031202;21;998735948;;;g_tagliari@hotmail.com;
12.807.978/0001-49;AGBI ATIVOS REAIS LTDA;AGBI ATIVOS REAIS;2012-06-21;;;EM FUNCIONAMENTO NORMAL;2012-06-21;Gestor de Carteira;;PRIVADO;SEDE;RUA FUNCHAL, 263;5º AND. CONJ. 52;VILA OLIMPIA;SÃO PAULO;SP;4551060;11;30802800;;;financeiro@agbi.com.br;www.agbi.com.br
00.271.457/0001-30;AGENDA ESTUDOS E PROJETOS ECONÔMICOS LTDA.;AGENDA ESTUDOS E PROJETOS ECONÔMICOS LTDA.;1995-04-10;2006-02-23;CANCELAMENTO A PEDIDO;CANCELADA;2006-02-23;;;PRIVADO;SEDE;AV. DAS AMÉRICAS, 500;SALA 208/ BLOCO 22;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640100;21;30778110;3015917.73;1998-12-31;fundos@agendaccvm.com.br;
