TP_PARTIC;CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;CONTROLE_ACIONARIO;VL_PATRIM_LIQ;DT_PATRIM_LIQ;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL
BANCOS COMERCIAIS;33.876.475/0001-03;SOLUTO II PARTICIPAÇÔES S.A.;PROSPER;2006-10-06;2016-01-18;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2016-01-18;78;;;;;SEDE;PRAIA DE BOTAFORO, 228;9º ANDAR;BOTAFOGO;RIO DE JANEIRO;RJ;BRASIL;22250906;021;21388300;21;38140792;paulo.tatsch@bancoprosper.com.br
BANCOS DE INVESTIMENTOS;65.724.965/0001-72;ALVORADA BANCO DE INVESTIMENTO S.A.;BBV GESTÃO DE RECURSOS;1996-11-12;2004-02-09;ELISÃO POR INCORPORAÇÃO;CANCELADA;2004-02-09;426;;;15606045.38;2002-12-31;SEDE;RUA CINCINATO BRAGA, 340;15º ANDAR - ALA A;BELA VISTA;SÃO PAULO;SP;BRASIL;1333010;11;31493000;11;31493181;fundos@bbvbrasil.com.br
BANCOS DE INVESTIMENTOS;33.066.408/0001-15;BANCO ABN AMRO REAL S.A.;BANCO ABN AMRO REAL S.A.;1967-03-13;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;108;;;3863818672.20;1999-12-31;SEDE;AV. JUSCELINO KUBITSCHEK, 2235;3º ANDAR;VILA OLIMPIA;SÃO PAULO;SP;BRASIL;4543011;11;35532943;11;35536300;luciane.ribeiro@santander.com.br
BANCOS DE INVESTIMENTOS;03.532.415/0001-02;BANCO ABN AMRO S.A.;BANCO ABN AMRO S.A.;2000-05-23;2005-11-14;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2005-11-14;485;;;0.00;2005-12-31;SEDE;R FIDENCIO RAMOS;302/308 11 ANDAR CONJUNTO 111;VILA OLIMPIA;SÃO PAULO;SP;;4551010;11;30737400;;;contasapagar.br@abnamroclearing.com
BANCOS DE INVESTIMENTOS;60.770.336/0001-65;BANCO ALFA DE INVESTIMENTO S.A.;BANCO ALFA DE INVESTIMENTO S.A.;1966-07-15;;;EM FUNCIONAMENTO NORMAL;1966-07-15;272;Bancos;;1580925847.05;2021-12-31;SEDE;ALAMEDA SANTOS, 466;4° ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;;1418000;11;31755147;;;aaio@bancoalfa.com.br
BANCOS DE INVESTIMENTOS;63.090.609/0001-19;BANCO BANDEIRANTES DE INVESTIMENTOS SA;BCO BANDEIRANTES INVESTIMENTOS;1971-04-13;2002-02-20;INCORPORAÇÃO;CANCELADA;2002-02-20;329;Bancos;;0.00;2001-12-31;SEDE;AV EUSEBIO MATOSO 891;;PINHEIROS;SÃO PAULO;SP;BRASIL;5423901;011;2337165;11;37897128;thoms@bandeirantes.com.br
BANCOS DE INVESTIMENTOS;15.114.366/0001-69;BANCO BOCOM BBM S.A.;BCO BOCOM BBM;1967-06-29;1998-04-29;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;1998-04-29;43;Bancos;;239153470.25;1999-12-31;SEDE;RUA MIGUEL CALMON 398;7º ANDAR;COMÉRCIO;SALVADOR;BA;;40015040;21;25148477;21;25148295;compliancecorporativo@bocombbm.com.br
BANCOS DE INVESTIMENTOS;59.652.578/0001-75;BANCO COLUMBIA DE INVESTIMENTO S.A.;COLUMBIA;1988-10-17;;;LIQUIDAÇÃO EXTRAJUDICIAL;1990-11-13;256;;;0.00;1995-12-31;SEDE;AV.FLORÒNCIO DE ABREU,194 3AND;;;SÃO PAULO;SP;BRASIL;1030000;11;2277727;;;
BANCOS DE INVESTIMENTOS;58.685.322/0001-00;BANCO DE INVESTIMENTOS BMC SA;BMC;1988-03-02;2001-07-06;INCORPORAÇÃO;CANCELADA;2001-07-06;213;;;0.00;2000-12-31;SEDE;AV DAS NACOES UNIDAS 12995;24 ANDAR;CHACARA ITAIM;SÃO PAULO;SP;BRASIL;4578000;11;55037732;;;
BANCOS DE INVESTIMENTOS;33.987.793/0001-33;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S/A;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S/A;1976-11-30;;;EM FUNCIONAMENTO NORMAL;1976-11-30;132;;;5843636680.95;2021-12-31;SEDE;R.LEOPOLDO C.MAGALHAES JR.700;10,12A14 AND PARTE;ITAIM BIBI;SÃO PAULO;SP;;4542000;11;37016800;;;list.csbg-unicad@credit-suisse.com
BANCOS DE INVESTIMENTOS;59.551.945/0001-44;BANCO DEL REY INV SA;BCO DEL REY INV SA;1988-09-30;1997-12-26;;CANCELADA;1997-12-26;230;;;17480114.03;1996-12-31;SEDE;AV BRIG FARIA LIMA 1276 10AND;;;SÃO PAULO;SP;BRASIL;1452000;011;2337165;;;
BANCOS DE INVESTIMENTOS;62.237.425/0001-76;BANCO FIDIS S. A.;--;2003-02-26;;;EM FUNCIONAMENTO NORMAL;2003-02-26;604;;;319484653.96;2008-12-31;SEDE;AVENIDA DO CONTORNO;3455 - G 84;PAULO CAMIL0;BETIM;MG;;32669900;31;21235953;;;gunnar.murillo@stellantis.com
BANCOS DE INVESTIMENTOS;60.664.844/0001-69;BANCO FINASA DE INVESTIMENTO S.A.;BANCO FINASA DE INVESTIMENTO S.A.;1966-08-10;2005-03-24;INCORPORAÇÃO;CANCELADA;2005-03-24;264;;;0.00;2004-12-31;SEDE;AV. PAULISTA , 1450;8º  ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1310090;011;31452832;11;31453174;luizalberto@finasa.com.br
BANCOS DE INVESTIMENTOS;57.561.615/0001-04;BANCO FINASA S.A.;CONTINENTAL - BANCO;1987-06-23;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;191;;;76774604.25;1999-12-31;SEDE;AVENIDA ALPHAVILLE, 1500;PISO 2;ALPHAVILLE;BARUERI;SP;BRASIL;1418100;11;36844126;11;36845334;4260.guilherme@bradesco.com.br
BANCOS DE INVESTIMENTOS;45.246.410/0001-55;BANCO GENIAL S.A.;PLURAL BANCO;1996-10-25;2012-08-23;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-08-23;418;;;18428824.92;2011-12-31;SEDE;PRAIA DE BOTAFOGO, 228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;;22250040;21;39233000;21;39233001;complianceadm@genial.com.vc
BANCOS DE INVESTIMENTOS;53.518.684/0001-84;BANCO HSBC S.A.;HSBC LEASING;2016-01-05;;;EM FUNCIONAMENTO NORMAL;2016-01-05;698;Arrendamento Mercantil;;993514699.78;2021-12-31;SEDE;AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1909;19º ANDAR, TORRE NORTE, SÃO PAULO CORPORATE TOWER;VILA OLÍMPIA;SÃO PAULO;SP;;4551903;11;28023258;;;mfsoares@hsbc.com
BANCOS DE INVESTIMENTOS;04.866.275/0001-63;BANCO INBURSA S.A.;BANCO STANDARD DE INVESTIMENTOS S.A.;2002-11-06;;;EM FUNCIONAMENTO NORMAL;2002-11-06;574;;;85710114.86;2016-12-31;SEDE;AV. PRES J KUBITSCHEK, 1327;18° ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;;4543011;011;30304300;011;30304456;sao-legal@inbursa.com
BANCOS DE INVESTIMENTOS;33.588.252/0001-32;BANCO INDUSCRED DE INVESTIMENTO S/A;BANCO INDUSCRED DE INVESTIMENTO S.A.;2002-04-12;;;EM FUNCIONAMENTO NORMAL;2002-04-12;558;;;28416395.09;2021-12-31;SEDE;ALAMEDA SANTOS 960;19º ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;;1418100;011;31912000;011;31912092;induscre@bancoinduscred.com.br
BANCOS DE INVESTIMENTOS;31.895.683/0001-16;BANCO INDUSTRIAL DO BRASIL;BANCO INDUSTRIAL DO BRASIL S/A;1987-12-17;1994-05-18;CANCELADO NO AS400;CANCELADA;1994-05-18;78;Bancos;;78035555.46;1999-12-31;SEDE;AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1703;;ITAIM BIBI;SÃO PAULO;SP;;4543901;11;30499700;11;30499811;ri@bancoindustrial.com.br
BANCOS DE INVESTIMENTOS;28.176.477/0001-41;BANCO INVESTOR DE INVESTIMENTO SA;INVESTOR;1995-09-27;2001-10-24;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2001-10-24;388;;;1050048.02;2000-12-31;SEDE;RUA SETE DE SETEMBRO 132/ 606;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20020100;021;2326841;021;2326841;
BANCOS DE INVESTIMENTOS;92.723.550/0001-57;BANCO ITABANCO S/A;BANCO ITABANCO S/A;1966-08-10;1995-05-26;;CANCELADA;1995-05-26;337;Bancos;;97913752.30;1999-12-31;SEDE;AV ANDROMEDA S/N - PREDIO 21;NIVEL 06;ALPHAVILLE;BARUERI;SP;BRASIL;6473900;11;8272261;11;4214015;
BANCOS DE INVESTIMENTOS;32.109.167/0001-81;BANCO ITAÚ CARTÕES S/A;ITAU;1988-09-20;2007-01-04;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2007-01-04;86;;;51999272.09;2005-12-31;SEDE;PÇA. ALFREDO E.S. ARANHA, 100;T. CONCEIÇÃO 9ºAND;PQ. JABAQUARA;SÃO PAULO;SP;BRASIL;4344902;11;50191888;11;50191999;drinvest@itau.com.br
BANCOS DE INVESTIMENTOS;03.017.677/0001-20;BANCO J. SAFRA S.A.;BANCO J. SAFRA;1999-06-24;2000-01-10;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2000-01-10;477;Bancos;;30532911.20;1999-12-31;SEDE;AVENIDA PAULISTA, 2.150;;BELA VISTA;SÃO PAULO;SP;;1310300;11;31757575;;;atendimento.regulamentar@safra.com.br
BANCOS DE INVESTIMENTOS;33.254.319/0001-00;BANCO LOSANGO S.A. - BANCO MÚLTIPLO;HSBC INVESTMENT BANK BRASIL S/A - BANCO DE INVESTIMENTO;2002-03-06;2008-12-30;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2008-12-30;566;;;959962021.61;2007-12-31;SEDE;RUA SENADOR DANTAS, 61;2º ANDAR, PARTE;CENTRO;RIO DE JANEIRO;RJ;;20031202;11;21253043;;;vinicius.favarao@bradesco.com.br
BANCOS DE INVESTIMENTOS;34.169.557/0001-72;BANCO MERCANTIL DE INVESTIMENTOS S.A.;BANCO MERCANTIL DE INVESTIMENTOS SA;1971-03-24;;;EM FUNCIONAMENTO NORMAL;1971-03-24;140;Bancos;;128620891.47;2021-12-31;SEDE;Rua Rio de Janeiro, 654;14º andar;Centro;BELO HORIZONTE;MG;BRASIL;30160912;31;30576234;31;30576778;relacoescominvestidores@mercantil.com.br
BANCOS DE INVESTIMENTOS;61.942.629/0001-45;BANCO MISASI DE INVEST. S/A.;MISASI;1996-06-14;2000-08-31;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2000-08-31;396;;;0.00;2000-12-31;SEDE;RUA LIBERO BADARO,377/29 ANDAR;;CENTR0;SÃO PAULO;SP;BRASIL;1009000;11;31154111;011;31056059;
BANCOS DE INVESTIMENTOS;40.429.946/0001-92;BANCO PORTO REAL DE INVESTIMENTO S.A.;BANCO PORTO REAL DE INVESTIMENTO S.A.;2001-08-31;;;EM FUNCIONAMENTO NORMAL;2001-08-31;515;;;26705475.87;2021-12-31;SEDE;EST. FLORIANO PORTO REAL 3395;;CENTRO;PORTO REAL;RJ;;27570000;24;33531400;24;33531400;finanbpr@bpr.com.br
BANCOS DE INVESTIMENTOS;21.594.726/0001-70;BANCO ROYAL DE INVESTIMENTO SA;ROYAL;1997-12-22;2008-09-30;FALENCIA;CANCELADA;2008-09-30;442;;;0.00;2003-12-31;SEDE;R LEOPOLDO C MAGALHÃES JR, 110;5 ANDAR;ITAIM BIBI;SÃO PAULO;SP;BRASIL;4542000;011;30485555;011;30485599;
BANCOS DE INVESTIMENTOS;32.173.023/0001-94;BANCO RURAL DE INVESTIMENTOS SA - EM LIQUIDAÇÃO EXTRAJUDICIAL;RURAL;1988-10-03;2013-08-06;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;2013-08-06;94;;;49800650.56;2012-12-31;SEDE;RUA RIO DE JANEIRO, 927;14º ANDAR- PARTE;CENTRO;BELO HORIZONTE;MG;BRASIL;30160041;31;32395177;31;32245558;faleconosco@rural.com.br
BANCOS DE INVESTIMENTOS;07.002.898/0001-86;BANCO SAFRA BSI S/A;BANCO SAFRA DE INVESTIMENTO S.A.;2004-09-23;2009-11-05;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2009-11-05;612;;;510810929.25;2008-12-31;SEDE;AV PAULISTA 2100;15 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1310900;11;31757404;11;31757907;sjts@safra.com.br
BANCOS DE INVESTIMENTOS;61.088.696/0001-44;BANCO SAFRA DE INVEST. SA;BANCO SAFRA DE INVSA;1967-04-13;1995-05-10;CANCELADO NO AS400;CANCELADA;1995-05-10;302;;;23581685166.75;1993-12-31;SEDE;AV PAULISTA 2100;;;SÃO PAULO;SP;BRASIL;1310200;11;37742;;;
BANCOS DE INVESTIMENTOS;48.103.014/0001-67;BANCO SUDAMERIS DE INVESTIMENTO SA;BANCO SUDAMERIS DE INVEST S.A.;1976-08-05;2007-03-12;INCORPORAÇÃO;CANCELADA;2007-03-12;175;;;16111344.88;2005-12-31;SEDE;AV PAULISTA 1374;8 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1310916;11;31746663;11;31746351;paulo.cesar.werneck@br.abnamro.com
BANCOS DE INVESTIMENTOS;00.086.413/0001-30;BANCO ÚNICO S.A.;BANCO BNL DO BRASIL S.A.;1969-06-16;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;19;Bancos;;149368229.21;1999-12-31;SEDE;AV. EUSÉBIO MATOSO, 891;;PINHEIROS;SÃO PAULO;SP;BRASIL;5423901;11;35844725;11;38136182;relacionamento.bacen@itau-unibanco.com.br
BANCOS DE INVESTIMENTOS;58.017.179/0001-70;BANCO VOLVO ( BRASIL ) S.A.;BANCO VOLVO;1987-07-01;1999-01-29;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;1999-01-29;205;;;26303142.50;1999-12-31;SEDE;AV JK OLIVEIRA 2600;P 90T;CIC;CURITIBA;PR;;81260900;41;33178706;41;33173651;thiago.alberton@vfsco.com
BANCOS DE INVESTIMENTOS;33.801.796/0001-30;BANERJ BANCO INVESTIMENTO SA;BANERJ;1968-03-29;1994-07-26;CANCELADO NO AS400;CANCELADA;1994-07-26;124;;;159746903935.13;1992-12-31;SEDE;AV NILO PECANHA 175 - 9 ANDAR;;;RIO DE JANEIRO;RJ;BRASIL;20020100;21;54986;;;
BANCOS DE INVESTIMENTOS;33.753.740/0001-58;BANIF BANCO DE INVESTIMENTO (BRASIL) S/A;BANIF BANCO DE INVESTIMENTO (BRASIL) S/A;2005-06-29;2018-03-19;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2018-03-19;620;;;50145603.60;2016-12-31;SEDE;RUA MINAS DE PRATA, 30;15 ANDAR;VILA OLIMPIA;SÃO PAULO;SP;BRASIL;4552080;11;31652000;11;31652000;geraldo.castilho@banif.com.br
BANCOS DE INVESTIMENTOS;62.073.200/0001-21;BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.;MERRILL LYNCH;2002-12-17;2011-03-01;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2011-03-01;582;;;1144412853.89;2010-12-31;SEDE;AV. BRIGADEIRO FARIA LIMA,3400;12O ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;;;11;21884227;nunofilipe.martins@bofa.com
BANCOS DE INVESTIMENTOS;92.791.813/0001-65;BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;BANK OF AMERICA - BRASIL S/A ( BANCO MULTIPLO );1969-08-12;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;345;;;305160181.87;1999-12-31;SEDE;AV.BRIG.FARIA LIMA,1485/8 AND.;CJ. 81 A;PINHEIROS;SÃO PAULO;SP;BRASIL;1451000;11;30384800;011;30384868;pedro.guerra@citigroup.com
BANCOS DE INVESTIMENTOS;92.791.813/0001-65;BANKAMERICA COMERCIAL E PARTICIPAÇÕES S. A.;BANK OF AMERICA - BRASIL S/A ( BANCO MULTIPLO );2003-12-08;2005-03-31;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2005-03-31;590;;;0.00;2005-12-31;SEDE;AV.BRIG.FARIA LIMA,1485/8 AND.;CJ. 81 A;PINHEIROS;SÃO PAULO;SP;BRASIL;1451000;11;30384800;011;30384868;pedro.guerra@citigroup.com
BANCOS DE INVESTIMENTOS;11.558.657/0001-95;BANORTE BANCO INVEST SA;BCO BANORTE INV;1990-01-01;1994-05-13;CANCELADO NO AS400;CANCELADA;1994-05-13;27;Bancos;;9386061.71;1989-12-31;SEDE;R JOSE BONIFACIO,944-TORRE;;;RECIFE;PE;BRASIL;50710000;0008;2247985;;;
BANCOS DE INVESTIMENTOS;24.933.830/0001-30;BB BANCO DE INVESTIMENTO S.A.;BB BCO INV;1988-10-03;;;EM FUNCIONAMENTO NORMAL;1988-10-03;51;;;849832108.74;2021-12-31;SEDE;AV PAULISTA, 1230;9º ANDAR;BELA VISTA;SÃO PAULO;SP;;1310901;11;42987000;;;diope.custodia.atend@bb.com.br
BANCOS DE INVESTIMENTOS;42.583.286/0001-25;BCO BOAVISTA DE INVS S/A;BOAVISTA;1976-09-14;1991-03-26;INCORPORAÇÃO;CANCELADA;1991-03-26;159;;;151884967.87;1989-12-30;SEDE;PRAÇA PIO X, 118 / 11 ANDAR;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20091000;021;2535074;;;
BANCOS DE INVESTIMENTOS;60.885.092/0001-66;BCO BRADESCO INVESTIMENTO SA;BRADESCO INV;1966-05-26;1994-12-07;CANCELADO NO AS400;CANCELADA;1994-12-07;280;Bancos;;230303912653.35;1991-12-31;SEDE;CIDADE DE DEUS;;;OSASCO;SP;BRASIL;6029000;11;7014011;;;
BANCOS DE INVESTIMENTOS;13.538.319/0001-17;BCO ECONOMICO DE INV S/A;ECONOMICO;1972-08-15;1994-12-07;CANCELADO NO AS400;CANCELADA;1994-12-07;35;;;2283408330843.98;1992-12-31;SEDE;R.MIGUEL CALMON, 285-4 ANDAR;;;SALVADOR;BA;BRASIL;40015000;71;2431834;;;
BANCOS DE INVESTIMENTOS;33.953.621/0001-49;BCO INTERCONTINENTAL DE INV SA;INTERCONTINENTAL;1972-11-29;1996-02-27;LIQUIDAÇÃO ORDINÁRIA;CANCELADA;1996-02-27;361;;PRIVADO;13614546194.00;1992-12-31;SEDE;AV LAURITA ORTEGA MARI,1475;;PARQUE PINHEIROS;TABOÃO DA SERRA;SP;BRASIL;6766361;11;8137011;;;
BANCOS DE INVESTIMENTOS;33.222.241/0001-34;BCO NACIONAL INVS SA;BCO NACIONAL INV;1967-06-27;;;LIQUIDAÇÃO EXTRAJUDICIAL;1997-11-18;116;Bancos;;146521561.48;1996-12-31;SEDE;AV RIO BRANCO 123 3 ANDAR;;;RIO DE JANEIRO;RJ;BRASIL;20040000;021;5055405;21;22131257;
BANCOS DE INVESTIMENTOS;31.136.708/0001-06;BFI - BANCO DE FINANCIAMENTO INTERNACIONAL S/A;BFI;1986-07-30;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;60;;;19243182.07;1995-12-31;SEDE;R MARQUES DE ITU 70/9 AND-CJ92;;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1223000;11;30311;;;
BANCOS DE INVESTIMENTOS;61.146.577/0001-09;BNC BRAZIL LTDA;BCO BARCLAYS E GALICIA;1967-06-20;1995-05-26;CANCELADO NO AS400;CANCELADA;1995-05-26;310;Bancos;;193020004.66;1999-12-31;SEDE;AV. BRIG. FARIA LIMA, 4440;12º ANDAR;ITAIM;SÃO PAULO;SP;BRASIL;4571100;11;37577000;11;37577343;carlos.deiab@barclays.com
BANCOS DE INVESTIMENTOS;00.689.364/0001-20;BOK ADMINISTRAÇÃO PART. FOMENTO MERCANTIL S/A;BANCO OK DE INVESTIMENTOS S.A.;1996-07-08;2005-06-08;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2005-06-08;400;;;6451515.59;2004-12-31;SEDE;SBS, QUADRA 02, BLOCO L, LT 06;ED. L. M. PINTO;ASA SUL;BRASÍLIA;DF;BRASIL;70070928;61;2187720;61;2187764;banco-ok@uol.com.br
BANCOS DE INVESTIMENTOS;30.280.184/0001-51;BOREAL HOLDING S.A.;BOREAL;2002-01-24;2003-04-22;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2003-04-22;540;;;18134727.55;2002-12-31;SEDE;AV PRES JUSCELINO KUBITSCHEK;1455 16 ANDAR;VL NOVA CONCEIçãO;SÃO PAULO;SP;BRASIL;4543011;11;35633688;11;35633605;mgomes@grupolibra.com.br
BANCOS DE INVESTIMENTOS;46.517.264/0001-18;BPI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;BPI EMPREENDIMENTOS E PARTICIPAÇÕES;1994-07-01;2000-05-04;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2000-05-04;353;;PRIVADO;0.00;2000-12-31;SEDE;R HENRIQUE MONTEIRO 234/10 AND;;PINHEIROS;SÃO PAULO;SP;BRASIL;5423020;11;8706111;0011;2128171;
BANCOS DE INVESTIMENTOS;61.033.106/0001-86;BPN BRASIL BANCO MULTIPLO S.A.;BPN BRASIL BANCO DE INVESTIMENTO S/A;1967-03-01;2003-10-27;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2003-10-27;299;;;13759059.53;2002-12-31;SEDE;AV. DAS NAÇÕES UNIDAS, 8501;19º ANDAR - PARTE;PINHEIROS;SÃO PAULO;SP;BRASIL;5425070;011;30949000;11;30949009;contato@bpnbrasil.com.br
BANCOS DE INVESTIMENTOS;13.220.493/0001-17;BR PARTNERS BANCO DE INVESTIMENTO S.A.;BR PARTNERS BANCO DE INVESTIMENTO S.A.;2013-01-04;;;EM FUNCIONAMENTO NORMAL;2013-01-04;655;;;633642409.62;2021-12-31;SEDE;AV. BRIG. FARIA LIMA, 3.732;28º ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;37041000;11;37041049;financeiro@brpartners.com.br
