CD_CVM;CNPJ;DENOM_SOCIAL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP
13129;40.335.900/0001-04;AQUILA - AUDITORES INDEPENDENTES;ATIVO;2021-08-17;SEDE;RUA VEREADOR BASILIO SAUTCHUK, 856 - ED. EVOLUTION;16º ANDAR - SL. 1601;ZONA 01;MARINGÁ;PR;87013190
13129;40.335.900/0001-04;AQUILA - AUDITORES INDEPENDENTES;ATIVO;2021-08-17;FILIAL CASCAVEL;RUA RIO DE JANEIRO, 992 - ANDAR SUPERIOR - ED. RIO CENTER;SL. 07;CENTRO;CASCAVEL;PR;85801030
12734;07.649.512/0001-22;AREZU AUDITORIA E CONTABILIDADE S/S;ATIVO;2017-09-26;SEDE;RUA CORONEL BENEDITO PIRES, 44;6º ANDAR -  SL 602;CENTRO;SOROCABA;SP;18010160
10804;09.139.788/0001-96;ATAC - AUDITORES INDEPENDENTES SOC. SIMPLES;ATIVO;2007-12-04;SEDE;RUA DR. LUIZ SUPLICY, 18;;GONZAGA;SANTOS;SP;11055330
9083;03.208.310/0001-94;ATHROS AUDITORES INDEPENDENTES;ATIVO;2001-08-21;SEDE;AVENIDA PORTUGAL, 141;CONJ. 61, 62 E 63;CENTRO;SANTO ANDRÉ;SP;9040010
11240;06.958.674/0001-80;AUDCORP AUDITORIA E ASSESSORIA S/S;ATIVO;2009-07-10;SEDE;AV. PRINCESA D'OESTE, 1645;BL. C/4º AND/CJ.44;JD. PARAÍSO;CAMPINAS;SP;13026137
5045;64.184.922/0001-89;AUDIBANCO - AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;ATIVO;1990-12-14;SEDE;RUA ISAURA COMICHOLE PIRES, 39;;CAPOEIRAS;FLORIANÓPOLIS;SC;88090130
5045;64.184.922/0001-89;AUDIBANCO - AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;ATIVO;1990-12-14;FILIAL SP;AV. BRIG. LUIS ANTONIO, 2050;3º ANDAR;;SÃO PAULO;SP;1318002
10359;07.341.692/0001-80;AUDIBRAS - AUDITORES E CONSULTORES S/S;ATIVO;2005-08-31;SEDE;AV MARIANA UBALDINA DO ESPÍRITO SANTO, 623 - 9º ANDAR;CONJ. 91;BOM CLIMA;GUARULHOS;SP;7197000
8850;02.057.035/0001-92;AUDICONSULT AUDITORES S/S;ATIVO;2001-01-05;SEDE;RUA ANTÔNIO SCHERER, 543;SL. 102;KOBRASOL;SÃO JOSÉ;SC;88102090
6475;13.069.281/0001-80;AUDICONT- AUDITORES E CONSULTORES;ATIVO;1996-02-14;SEDE;R.CORONEL ALMERINDO REHEM 126;SALAS 605 A 612;CAMINHO DAS ARVORES;SALVADOR;BA;41820768
10227;07.037.795/0001-51;AUDIFACTOR AUDITORES INDEPENDENTES S/S;ATIVO;2005-01-21;SEDE;RUA ALMIRANTE BARROSO, 1265;SALA 04;VILA NOVA;BLUMENAU;SC;89035402
10227;07.037.795/0001-51;AUDIFACTOR AUDITORES INDEPENDENTES S/S;ATIVO;2005-01-21;FILIAL CURITIBA;RUA SENADOR BATISTA DE OLIVEIRA, 303;CASA 02;JD DAS AMÉRICAS;CURITIBA;PR;81530150
3093;61.205.639/0001-06;AUDIFISCO AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;SEDE;RUA ALFERES MAGALHÃES, 92;7º AND. / CJ. 71;SANTANA;SÃO PAULO;SP;2034006
8290;38.050.282/0001-04;AUDIGER AUDITORES INDEPENDENTES S/S;ATIVO;1999-12-13;SEDE;SRTVN Q701 CJ C ALA B;N124 SL734/737;ASA NORTE;BRASÍLIA;DF;70719903
7056;02.163.575/0001-50;AUDILINK & CIA. AUDITORES;ATIVO;1998-03-02;SEDE;R BUTANTÃ 461, 7. AND, CJ71/72;;PINHEIROS;SÃO PAULO;SP;5424140
7056;02.163.575/0001-50;AUDILINK & CIA. AUDITORES;ATIVO;1998-03-02;FILIAL RJ;AV. FRANKLIN ROOSEVELT, 84;SL. 603;CENTRO;RIO DE JANEIRO;RJ;20021120
7056;02.163.575/0001-50;AUDILINK & CIA. AUDITORES;ATIVO;1998-03-02;FILIAL RS;RUA PEREIRA FRANCO, 333 - 4º ANDAR;CJS. 401 / 402;SÃO JOÃO;PORTO ALEGRE;RS;90240520
7056;02.163.575/0001-50;AUDILINK & CIA. AUDITORES;ATIVO;1998-03-02;FILIAL PE;RUA RIBEIRO DE BRITO 1002;SLS. 603/4/5/6;BOA VIAGEM;RECIFE;PE;51021310
7056;02.163.575/0001-50;AUDILINK & CIA. AUDITORES;ATIVO;1998-03-02;ELDORADO DO SUL/RS;RUA MARTINHO POETA, 323;;PICADA;ELDORADO DO SUL;RS;92990000
12327;11.254.307/0001-35;AUDIMEC AUDITORES INDEPENDENTES S/S - EPP;ATIVO;2015-03-25;SEDE;AV. GOV. AGAMENON MAGALHÃES, 2615;SL. 1503;BOA VISTA;RECIFE;PE;50050290
7218;52.350.063/0001-71;AUDIOESP - AUDITORIA E CONSULTORIA S/S;ATIVO;1998-08-25;SEDE;AV BARÃO DE ITAPURA 2294;SALAS 13, 18 E 19;JARDIM GUANABARA;CAMPINAS;SP;13073300
3166;42.165.506/0001-09;AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S;ATIVO;1978-11-01;SEDE;PC TIRADENTES 10;SL. 1001-02;CENTRO;RIO DE JANEIRO;RJ;20060070
5290;23.626.575/0001-10;AUDÍPER - AUD INDEP SOCIEDADE SIMPLES;ATIVO;1991-10-09;SEDE;RUA ARLINDO NOGUEIRA 614;SUL;CENTRO;TERESINA;PI;64000290
6963;41.396.359/0001-07;AUDIPLAC AUDITORIA E ASSESSORIA CONTÁBIL S/S;ATIVO;1997-10-01;SEDE;AV SANTOS DUMONT, Nº 2122;SALAS 108, 109 E 110;ALDEOTA;FORTALEZA;CE;60150161
11606;00.298.818/0001-32;AUDIPLAN AUDITORES INDEPENDENTES;ATIVO;2011-08-18;SEDE;RUA JORNALISTA OCTAVIO SECUNDI;370;BOM RETIRO;CURITIBA;PR;80520480
5690;63.806.830/0001-20;AUDITAN - AUDITORIA INDEPENDENTE;ATIVO;1992-09-02;SEDE;RODOVIA BR 316, 5610;ED. J. K. S/202;CASTANHEIRA;BELÉM;PA;66645000
12521;42.185.769/0001-71;AUDITASSE AUDITORES INDEPENDENTES S/S;ATIVO;2016-05-24;SEDE;RUA  ASSEMBLEIA 10 - S/1312;;CENTRO;RIO DE JANEIRO;RJ;20011000
11177;10.636.276/0001-14;AUDITBRASIL AUDITORES INDEPENDENTES S/S;ATIVO;2009-04-01;SEDE;LRG DO PAISSANDU 72 11º ANDAR;CONJ. 1108;CENTRO;SÃO PAULO;SP;1034010
7528;02.956.745/0001-54;AUDITÓR - AUDITORES INDEPENDENTES LTDA.;ATIVO;1999-02-25;SEDE;AV FRANKLIN ROOSEVELT, 23;GR. 804;CENTRO;RIO DE JANEIRO;RJ;20021120
2682;16.888.455/0001-25;AUDSÉRVICE AUDITORES ASSOCIADOS SOCIEDADE SIMPLES;ATIVO;1983-11-23;SEDE;RUA BERNARDO GUIMARÃES, 911;SL. 604;SAVASSI;BELO HORIZONTE;MG;30130153
8575;81.617.821/0001-73;AUDSISTEM AUDITORES INDEPENDENTES;ATIVO;2000-05-24;SEDE;R JOÃO PINTO, N° 30;SALA 704;CENTRO;FLORIANÓPOLIS;SC;88010420
11819;14.754.093/0001-54;AWARD AUDITORES INDEPENDENTES S/S;ATIVO;2012-04-16;SEDE;AVENIDA DOUTOR ANILOEL NAZARETH, 3640;TÉRREO;JARDIM FUSCALDO;SÃO JOSÉ DO RIO PRETO;SP;15061330
10340;04.867.918/0001-93;AXCEL AUDITORES INDEPENDENTES S/S;ATIVO;2005-08-30;SEDE;RUA EMILIANO PERNETA, 424;CONJUNTO 142;CENTRO;CURITIBA;PR;80420080
13048;27.255.192/0001-33;AZEVEDO AUDITORES INDEPENDENTES S/S;ATIVO;2020-09-28;SEDE;RUA MONSENHOR CLARO QD 10-70;SALA 201;VILA MESQUITA;BAURU;SP;17014360
12076;18.596.945/0001-83;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES S/S;ATIVO;2014-04-02;SEDE;RUA CASTILHO;392 - CJS 31 E 32;BROOKLIN;SÃO PAULO;SP;4568010
11533;26.230.862/0001-02;BAKER TILLY BRASIL MG AUDITORES INDEPENDENTES;ATIVO;2011-01-25;SEDE;AV. GETULIO VARGAS, 1671;6 ANDAR;SAVASSI;BELO HORIZONTE;MG;30112024
11533;26.230.862/0001-02;BAKER TILLY BRASIL MG AUDITORES INDEPENDENTES;ATIVO;2011-01-25;FILIAL BRASÍLIA;SAUS - QD 04 - LOTE 09 E 10 - BL A - SLS 520 E 521;ED VICTÓRIA OFFICE TOWER;ASA SUL;BRASÍLIA;DF;70070040
11932;13.859.935/0001-70;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;ATIVO;2012-12-20;SEDE;AV. RIO BRANCO, 53;302;CENTRO;RIO DE JANEIRO;RJ;20090004
12360;21.601.212/0001-02;BAKER TILLY BRASIL RS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;ATIVO;2015-05-28;SEDE;AV DR NILO PEÇANHA, 724;SALA 502;BELA VISTA;PORTO ALEGRE;RS;90470000
11401;27.243.377/0001-28;BAKER TILLY BRASIL-ES AUDITORES INDEPENDENTES;ATIVO;2010-02-09;SEDE;AV Nª Sª DOS NAVEGANTES, 451 - ED. PETRO TOWER - 19º ANDAR;SLS. 1901 A 1907 E 1916;ENSEADA DO SUÁ;VITÓRIA;ES;29050335
5622;92.236.215/0001-24;BARBACOVI E CIA AUDITORES INDEPENDENTES;ATIVO;1992-07-08;SEDE;RUA SILVEIRO, 597;SL. 101;MENINO DEUS;PORTO ALEGRE;RS;90850000
12050;18.918.608/0001-65;BARROS AUDITORES INDEPENDENTES S/S;ATIVO;2014-02-04;SEDE;RUA PEDRO DANTAS, 201;SALA 06;DIAS MACEDO;FORTALEZA;CE;60860150
9687;05.471.124/0001-79;BASILIO, FRANCO - AUDITORES INDEPENDENTES S/S;ATIVO;2003-04-10;SEDE;RUA EMILIANO PERNETA, 725 - ED. SAINT LOUIS BUSINESS;CJ. 903;CENTRO;CURITIBA;PR;80420080
8613;02.528.637/0001-80;BAUER AUDITORES ASSOCIADOS;ATIVO;2000-07-05;SEDE;RUA BERNARDO GUIMARÃES;2717, CJ 1001/1002;LOURDES;BELO HORIZONTE;MG;30140082
5193;40.184.046/0001-22;BAZZANEZE AUDITORES INDEPENDENTES S/S;ATIVO;1991-05-07;SEDE;RUA DES WESTPHALEN, 868;10º ANDAR;REBOUÇAS;CURITIBA;PR;80230100
10499;04.709.400/0001-21;BC CONTROL AUDITORES INDEPENDENTES S/S;ATIVO;2006-03-15;SEDE;AV. ANGÉLICA, 1757;CJ. 41;HIGIENÓPOLIS;SÃO PAULO;SP;1227200
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;SEDE;R. MAJOR QUEDINHO, 90;3º ANDAR;CONSOLAÇÃO;SÃO PAULO;SP;1050030
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL 01;AV. DOUTOR ANTÔNIO GOMES DE BARROS, 625 - ED THE AQUARE PARK OFFICE;SL. 504;JATIÚCA;MACEIÓ;AL;57036000
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL CE;AV. DESEMBARGADOR MOREIRA, 2120;SLS. 707 / 8;ALDEOTA;FORTALEZA;CE;60170002
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL CAMPINAS;AV. JOSÉ DE SOUZA CAMPOS, 243 - 1º AND - CJS. 11 E 12;ED. HANNOVER TOWER;CAMBUÍ;CAMPINAS;SP;13025230
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL RIBEIRÃO PRETO;AV. PRES. VARGAS, 2121;CJS. 2002 A 2004;ED. TIME SQUARE;RIBEIRÃO PRETO;SP;14020260
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL CURITIBA;AV. SILVA JARDIM, 2042 - 8º ANDAR;CJ 803 E 805;REBOUÇAS;CURITIBA;PR;80250200
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL LONDRINA;RUA DR. ELIAS CÉSAR, 55 - 3º ANDAR;;CAIÇARAS;LONDRINA;PR;86015640
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL FLORIANÓPOLIS;RUA CRISTOVÃO NUNES PIRES, 110;SALA 603;CENTRO;FLORIANÓPOLIS;SC;88010120
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL PORTO ALEGRE;R. ANDRÉ PUENTE, 441;SL. 305;CENTRO PROF. UNO;PORTO ALEGRE;RS;90035150
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL GOIANIA;RUA 05, QUADRA C-4 - LOTE 16 / 19;5º ANDAR;SETOR OESTE;GOIÂNIA;GO;74115060
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL BELEM;TRAVESSA DOM ROMUALDO DE SEIXAS, 1476 - 23º ANDAR;SLS. 2307 / 8;UMARIZAL;BELÉM;PA;66055200
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL MANAUS;AV JORNALISTA HUMBERTO CALDERARO FILHO, 455 - 6º ANDAR - ED CRISTAL TOWER;SLS. 615/16;ADRIANÓPOLIS;MANAUS;AM;69057015
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL CUIABÁ;AV. HISTORIADOR RUBENS DE MENDONÇA, 2368;SL. 908;BOSQUE DA SAÚDE;CUIABÁ;MT;78050000
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL RECIFE;AV. REPÚBLICA DO LÍBANO, 251 - TORRE A;27º ANDAR;PINA;RECIFE;PE;51110160
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL SOROCABA;AV. CARLOS COMITRE, 525 - ED CRYSTAL PLAZA;SLS. 43 E 44;PARQUE CAMPOLIM;SOROCABA;SP;18047620
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL VITÓRIA;RUA JOSÉ ALEXANDRE BUAIZ, 190;SLS. 1016 / 17;ENSEADA DO SUÁ;VITÓRIA;ES;29050918
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL SÃO JOSÉ DOS CAMPOS;AV. SÃO JOÃO, 2375 - 14º ANDAR;SLS. 1402 / 5;JD. DAS COLINAS;SÃO JOSÉ DOS CAMPOS;SP;12242000
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL BRASÍLIA;SETOR DE AUTARQUIAS SUL, SAUS, QUADRA 4, LOTES 09/10 - BLOCO A - 10º ANDAR;SLS. 1014/16;;BRASÍLIA;DF;70070938
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL SALVADOR;AV. TANCREDO NEVES, 2539 - SLS. 1407 A 1412 - ED CEO SALVADOR SHOPPING;TORRE B /NOVA IORK;CAMINHO DAS ÁRVORES;SALVADOR;BA;41820021
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL BELO HORIZONTE;RUA PARAÍBA, 1000 - ED. ASAMAR;6º AND/601;SAVASSI;BELO HORIZONTE;MG;30130145
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL CAMPO GRANDE;AV. AFONSO PENA, 5723;SALA 1201;SANTA FÉ;CAMPO GRANDE;MS;79031010
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL RIO DE JANEIRO;AV. BARÃO DE TEFÉ, 27 - ED. L'ÓREAL;9º AND - SL. 901;SAÚDE;RIO DE JANEIRO;RJ;20220460
10324;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;ATIVO;2005-08-16;FILIAL UBERLANDIA - MG;AV. RONDON PACHECO, 381;SL. 302;TABAJARAS;UBERLÂNDIA;MG;38400242
12297;21.449.300/0001-22;BERKAN AUDITORES INDEPENDENTES S/S;ATIVO;2015-01-22;SEDE;RUA GUARANI, 63;CASA;GARCIA;BLUMENAU;SC;89021110
10383;03.559.971/0001-64;BEZ AUDITORES INDEPENDENTES S/S - EPP;ATIVO;2005-10-03;SEDE;RUA NEO ALVES MARTINS, 2789;ED PALÁCIO DO COM.;ZONA 01;MARINGÁ;PR;87013060
11185;10.583.758/0001-53;BH AUDITORES INDEPENDENTES;ATIVO;2009-04-01;SEDE;RUA ALBERTO CINTRA, 161;SALA1203;UNIÃO;BELO HORIZONTE;MG;31160370
7366;47.174.537/0001-31;BINAH SP AUDITORES INDEPENDENTES;ATIVO;1998-11-04;SEDE;RUA ESTELA, 515 - BL. C;14º AND - CJ.142;VL. MARIANA;SÃO PAULO;SP;4011002
5363;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES;ATIVO;1992-01-28;SEDE;AV. GRAÇA ARANHA, 416 - 11º ANDAR- PARTE SLS 1101 A 1107;SLS 1111 A 1119 - 1121 A 1125;CENTRO;RIO DE JANEIRO;RJ;20030001
5363;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES;ATIVO;1992-01-28;FILIAL MG;AV.  PRUDENTE DE MORAES, 444;SL. 504;;BELO HORIZONTE;MG;30380000
10855;06.096.033/0001-63;BLB - AUDITORES INDEPENDENTES;ATIVO;2008-01-30;SEDE;AV. PRESIDENTE VARGAS, 2121;CONJ. 603;JD. AMÉRICA;RIBEIRÃO PRETO;SP;14020260
10855;06.096.033/0001-63;BLB - AUDITORES INDEPENDENTES;ATIVO;2008-01-30;FILIAL GOIANIA;AV. 136, QUADRA F44, LOTE 2E;Nº 761 - SL. A1;SETOR SUL;GOIÂNIA;GO;74093250
3190;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;SEDE;RUA BARÃO DE ITAPETININGA, 140;4 AND CJ. 42;CENTRO;SÃO PAULO;SP;1042020
3190;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;FILIAL RJ;AV. RIO BRANCO, 122;21º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040001
3190;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;FILIAL MG;AV. AUGUSTO DE LIMA, 1646;17º AND / SL. 1709;BARRO PRETO;BELO HORIZONTE;MG;30190003
3190;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;FILIAL SÃO PAULO;RUA ARANDU, 281;9º AND/ CJS. 91/2;BROOKLIN;SÃO PAULO;SP;4562030
3190;62.650.403/0001-33;BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;ATIVO;1978-11-01;ENDERECO INFO DIVDAT_MULTA;RUA BARÃO DE ITAPETININGA, Nº 140, 4º ANDAR;;CENTRO;SÃO PAULO;SP;1042020
12378;20.289.662/0001-30;BRAVAU AUDITORES INDEPENDENTES S/S - EPP;ATIVO;2015-05-28;SEDE;RUA 123, Nº 41, QUADRA F37, LOTE 03;SALA 2;SETOR SUL;GOIÂNIA;GO;74093040
9652;05.453.629/0001-00;C SERV & AUDITORES ASSOCIADOS;ATIVO;2003-02-27;SEDE;RUA GUAIANAZES  1278;CASA;PORTÃO;CURITIBA;PR;80320240
3786;89.324.610/0001-54;CAPITAL AUDITORIA CONTÁBIL E FISCAL S/S;ATIVO;1978-11-01;SEDE;R ANDRE PUENTE 238;;INDEPENDENCIA;PORTO ALEGRE;RS;90035150
